Num.,Nome completo,E-mail,Telefone,Área,Idioma de interesse,Leva,Modelo de aula,Resultado nivelamento,Data Nivelamento,Nivel Recente,Data que o Lingopass deu acesso,Data de Primeiro acesso,A0,A0 AoV,"Tempo de conclusão em dias 
Início Fim",A1,A1 AoV,"Tempo de conclusão em dias 
Início Fim.1",A2,A2 AoV,"Tempo de conclusão em dias 
Início Fim.2",B1,B1 AoV,"Tempo de conclusão em dias 
Início Fim.3",B2,B2 AoV,"Tempo de conclusão em dias 
Início Fim.4",C1,C1 AoV,"Tempo de conclusão em dias 
Início Fim.5",C2,C2 AoV,total progresso,"Tempo de conclusão em dias 
Início Fim.6",Progresso (nível do nivelamento),Progresso (qualquer nível),Média A0,Média A1,Média A2,Média B1,Média B2,Média C1,Média C2,Média total,Primeiro Acesso,Primeiro acesso curso que foi nivelado,Último Acesso,Tempo Total Plataforma,Tempo Total AoV,Tempo Total,tempo plataforma minutos,tempo AOV minutos,tempo total,% plataforma ,Turmas Fixas,Horário,Turno,Tutor,Nativo?,Quantidade Mensagens,Observação,Nome Gestor,Gestor,Empresa,Cancelou,Data de cancelamento,Data que deve perder acesso ,Justificativa,Sobre o curso: Quão satisfeito você ficou com seu curso em geral?,"Recomendação, comentário ou sugestão: Você recomendaria nosso curso? (1 sendo nunca e 10 com certeza)","Recomendação, comentário ou sugestão: Tem alguma sugestão ou comentário que queira nos enviar?"
249.0,Zachary Mendoza,valerie69@example.com,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B2,12/12/2022,C1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"27,00%",0.00%,,"35,00%",6.33%,,"0,00%",0.00%,62%,,,,-,-,-,-,"98,75%",-,-,"98,75%",12/12/2022,,24/04/2023,13h 56m,03h 08m,17h 05m,836.0,188.0,1.024,82%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,yolandafreeman@example.com,EMBRAER,,,,,,,
377.0,William Ruiz,shawnalvarez@example.net,,ADM,INGLÊS,3,TURMA FIXA,B2,09/02/2023,B2,01/02/2023,09/02/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"17,00%",81.43%,,"0,00%",0.00%,,"0,00%",0.00%,17%,,,,-,-,-,-,-,-,-,,09/02/2023,,24/04/2023,04h 41m,13h 01m,17h 42m,281.0,781.0,1.062,26%,EN | EMB3 | ADM | INT40,Segundas e quartas às 18h,Noite,Luíza,Brasileiro,,,,mendezphyllis@example.com,EMBRAER,,,,,,,
50.0,Monica Lee,elizabeth11@example.net,,TI,INGLÊS,1,TURMA FLEXÍVEL,A1,27/09/2022,A1,01/09/2022,27/09/2022,"0,00%",0.00%,,"58,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,58%,,"54,00%","54,00%",-,"81,96%",-,-,-,-,-,"81,96%",27/09/2022,,25/04/2023,11h 21m,00h 00m,11h 21m,681.0,0.0,681.0,100%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,caroline85@example.com,EMBRAER,,,,,,,
126.0,Elizabeth Downs,heather02@example.org,,TI,INGLÊS,1,TURMA FIXA,B1,27/09/2022,B1,01/09/2022,27/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"57,00%",240.72%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,57%,,"55,00%","55,00%",-,-,-,"98,33%",-,-,-,"98,33%",27/09/2022,,25/04/2023,20h 35m,38h 30m,59h 06m,1.235,2.31,3.545,35%,EN | EMB | TI | INT04,Quartas e sextas às 13h,Tarde,Richard,Nativo,2.0,,,emcdonald@example.com,EMBRAER,,,,,,,
183.0,Julie Travis,andrewphillips@example.org,,TI,INGLÊS,2,TURMA FIXA,B1,12/12/2022,B1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"58,00%",140.34%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,58%,,,,-,-,-,"98,33%",-,-,-,"98,33%",12/12/2022,,20/04/2023,21h 41m,22h 27m,44h 08m,1.301,1.347,2.648,49%,EN | EMB2 | TI | INT31,Terças e quintas às 18h,Noite,Clarice,Brasileiro,1.0,,,dgreen@example.org,EMBRAER,,,,,,,
396.0,Emily Shaw DDS,roylisa@example.com,,TEC,INGLÊS,3,TURMA FIXA,B1,09/02/2023,B1,01/02/2023,09/02/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"15,00%",74.01%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,15%,,,,-,-,-,-,-,-,-,,09/02/2023,,25/04/2023,04h 20m,12h 46m,17h 07m,260.0,766.0,1.026,25%,EN | EMB3 | TEC | INT36,Terças e quintas  às 18h,Noite,Paulo,Brasileiro,,,,ldelgado@example.org,EMBRAER,,,,,,,
202.0,Dennis Navarro,jjohnston@example.net,,TI,INGLÊS,2,TURMA FIXA,A1,14/12/2022,A1,01/12/2022,14/12/2022,"57,00%",0.00%,,"0,00%",120.11%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,57%,,,,"100,00%",-,-,-,-,-,-,"100,00%",14/12/2022,,25/04/2023,02h 18m,21h 14m,23h 32m,138.0,1.274,1.412,10%,EN | EMB2 | TI | BAS12,Terças e quintas às 18h,Noite,Bruno,Brasileiro,1.0,,,nathanielhunter@example.net,EMBRAER,,,,,,,
406.0,Aaron Novak,megan71@example.org,,TEC,INGLÊS,3,TURMA FIXA,A2,09/02/2023,A2,01/02/2023,09/02/2023,"1,00%",0.00%,,"13,00%",0.00%,,"0,00%",96.86%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,14%,,,,-,-,-,-,-,-,-,,09/02/2023,,24/04/2023,02h 37m,15h 29m,18h 07m,157.0,929.0,1.086,14%,EN | EMB3 | TEC | BAS18,Segundas e quartas às 18h,Noite,Marcela,Brasileiro,1.0,,,sheriellis@example.net,EMBRAER,,,,,,,
287.0,Meredith Dean,rubioalan@example.com,,ADM,FRANCÊS,2,TURMA FIXA,A1,15/12/2022,A1,01/12/2022,15/12/2022,"56,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,56%,,,,"86,70%",-,-,-,-,-,-,"86,70%",15/12/2022,,25/04/2023,03h 41m,23h 40m,27h 22m,221.0,1.42,1.641,13%,FR | EMB2 | BAS01,Terças e quintas 18h,Noite,Elmer,Brasileiro,1.0,,,wbarber@example.org,EMBRAER,,,,,,,
235.0,Justin Snyder,yrogers@example.org,,TEC,INGLÊS,2,TURMA FIXA,B1,13/12/2022,B1,01/12/2022,13/12/2022,"6,00%",0.00%,,"23,00%",0.00%,,"0,00%",0.00%,,"25,00%",132.33%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,54%,,,,-,-,-,"100,00%",-,-,-,"100,00%",13/12/2022,,26/04/2023,12h 21m,22h 10m,34h 31m,741.0,1.33,2.071,36%,EN | EMB2 | TEC | INT29,Terças e quintas ás 20:30h,Noite,Gustavo,Brasileiro,1.0,,,burtonadrian@example.net,EMBRAER,,,,,,,
409.0,Raymond Bird,brendaduran@example.org,,TEC,ESPANHOL,3,TURMA FLEXÍVEL,A1,14/03/2023,A1,01/02/2023,14/03/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,14/03/2023,,19/04/2023,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,Turma flexível,FLEX,FLEX,FLEX,FLEX,,,,santoselizabeth@example.net,EMBRAER,,,,,,,
172.0,Jeremiah Stephens,toddray@example.net,,ADM,INGLÊS,2,TURMA FLEXÍVEL,B1,12/12/2022,B1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"53,00%",116.25%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,53%,,,,-,-,-,"100,00%",-,-,-,"100,00%",12/12/2022,,25/04/2023,13h 07m,19h 11m,32h 18m,787.0,1.151,1.938,41%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,moorelinda@example.org,EMBRAER,,,,,,,
262.0,Adrian Crawford,turnernicole@example.net,,ADM,INGLÊS,2,TURMA FIXA,B1,12/12/2022,B1,01/12/2022,12/12/2022,"47,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"5,00%",72.64%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,52%,,,,"100,00%",-,-,-,-,-,-,"100,00%",12/12/2022,,25/04/2023,04h 48m,12h 21m,17h 09m,288.0,741.0,1.029,28%,EN | EMB2 | ADM | INT21,Terças e quintas às 19h,Noite,Amanda,Brasileiro,1.0,,,rebeccaestrada@example.org,EMBRAER,,,,,,,
79.0,Jade Anderson,geoffrey25@example.com,,TI,INGLÊS,1,TURMA FIXA,B1,30/09/2022,B1,01/09/2022,30/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"52,00%",131.14%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,52%,,"52,00%","52,00%",-,-,-,"100,00%",-,-,-,"100,00%",30/09/2022,,25/04/2023,20h 26m,22h 55m,43h 21m,1.226,1.375,2.601,47%,EN | EMB | TI | INT05,Terças e quintas às 16h,Tarde,Victor,Nativo,2.0,,,villarrealjames@example.net,EMBRAER,,,,,,,
107.0,Ryan Stephenson,christian25@example.net,,TI,INGLÊS,1,TURMA FLEXÍVEL,B2,26/09/2022,B2,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"49,00%",49.27%,,"0,00%",0.00%,,"0,00%",0.00%,49%,,"49,00%","49,00%",-,-,-,-,"98,75%",-,-,"98,75%",26/09/2022,,24/04/2023,08h 07m,07h 53m,16h 00m,487.0,473.0,960.0,51%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,erichards@example.org,EMBRAER,,,,,,,
289.0,Angela Wilson,samanthagrant@example.com,,TI,INGLÊS,2,TURMA FIXA,B1,09/01/2023,B1,01/12/2022,09/01/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"52,00%",145.07%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,52%,,,,-,-,-,"96,67%",-,-,-,"96,67%",09/01/2023,,24/04/2023,30h 26m,23h 12m,53h 39m,1.826,1.392,3.218,57%,EN | EMB2 | TI | INT32,Segundas e quartas às 18h,Noite,Dani,Brasileiro,1.0,,,alexnelson@example.net,EMBRAER,,,,,,,
408.0,John Holt,juanthompson@example.net,,ADM,ESPANHOL,3,TURMA FLEXÍVEL,A2,Nunca acessou,A2,01/02/2023,Nunca acessou,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,Nunca acessou,,,00h 00m,00h 00m,00h 00m,0.0,0.0,0.0,#DIV/0!,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,ewong@example.org,EMBRAER,,,,,,,
195.0,Melissa Johnson,carrconnie@example.net,,TI,INGLÊS,2,TURMA FIXA,B2,12/12/2022,B2,01/12/2022,12/12/2022,"6,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"45,00%",0.00%,,"0,00%",141.19%,,"0,00%",0.00%,,"0,00%",0.00%,51%,,,,-,-,-,"100,00%",-,-,-,"100,00%",12/12/2022,,24/04/2023,24h 03m,29h 07m,53h 11m,1.443,1.747,3.19,45%,EN | EMB2 | TI | INT30,Terças e quintas às 13h,Tarde,Luíza,Brasileiro,1.0,,,plawson@example.com,EMBRAER,,,,,,,
344.0,Cassandra Rubio,rkramer@example.com,,TEC,INGLÊS,2,TURMA FIXA,B2,14/12/2022,B2,01/12/2022,14/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"51,00%",129.93%,,"0,00%",0.00%,,"0,00%",0.00%,51%,,,,-,-,-,-,"82,92%",-,-,"82,92%",14/12/2022,,24/04/2023,18h 53m,20h 47m,39h 41m,1.133,1.247,2.38,48%,EN | EMB2 | TEC | INT28,Segundas e quartas às 19h,Noite,Larissa,Brasileiro,1.0,,,andrea96@example.com,EMBRAER,,,,,,,
352.0,Timothy Ellis,edwardssteve@example.net,,ADM,INGLÊS,3,TURMA FIXA,A1,09/02/2023,A1,01/02/2023,09/02/2023,"9,00%",0.00%,,"5,00%",2.73%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,09/02/2023,,25/04/2023,05h 31m,00h 26m,05h 58m,331.0,26.0,357.0,93%,EN | EMB3 | ADM | BAS22,Segundas e quartas às 19h,Noite,Ian,Brasileiro,,,,anna46@example.net,EMBRAER,,,,,,,
325.0,Julie Phillips,richard39@example.org,,TI,INGLÊS,2,TURMA FIXA,B1,12/12/2022,B1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"50,00%",133.09%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,50%,,,,-,-,-,"97,50%",-,-,-,"97,50%",12/12/2022,,18/04/2023,19h 36m,21h 17m,40h 53m,1.176,1.277,2.453,48%,EN | EMB2 | TI | INT31,Terças e quintas às 18h,Noite,Clarice,Brasileiro,1.0,,,rthomas@example.com,EMBRAER,,,,,,,
349.0,Carol Smith,alawrence@example.org,,ADM,INGLÊS,3,TURMA FIXA,A1,31/03/2023,A1,01/02/2023,31/03/2023,"0,00%",0.00%,,"3,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,31/03/2023,,31/03/2023,00h 26m,00h 00m,00h 26m,26.0,0.0,26.0,100%,EN | EMB3 | ADM | BAS20,Quarta e Sexta às 18h,Noite,Paulo,Brasileiro,,,,woodsalicia@example.net,EMBRAER,,,,,,,
321.0,Todd Williamson,barbara86@example.net,,ADM,INGLÊS,2,TURMA FIXA,B1,13/12/2022,B1,01/12/2022,13/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"49,00%",165.66%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,49%,,,,-,-,-,"100,00%",-,-,-,"100,00%",13/12/2022,,25/04/2023,13h 02m,27h 30m,40h 33m,782.0,1.65,2.432,32%,EN | EMB2 | TI | INT30,Terças e quintas às 13h,Tarde,Luíza,Brasileiro,1.0,Aluno de ADM que escolheu uma turma do T.I.,,kellykristen@example.com,EMBRAER,,,,,,,
145.0,Andrea Gallegos,richardharrison@example.org,,ADM,ESPANHOL,1,TURMA FLEXÍVEL,A2,26/09/2022,A2,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",6.37%,,"45,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,45%,,"0,00%","45,00%",-,-,-,"95,00%",-,-,-,"95,00%",26/09/2022,,20/04/2023,14h 15m,01h 01m,15h 17m,855.0,61.0,916.0,93%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,Aluno da turma 1 que não havia feito teste de nivelamento,,shawnpugh@example.com,EMBRAER,,,,,,,
324.0,Ryan Green,ryandavis@example.org,,TEC,INGLÊS,2,TURMA FLEXÍVEL,B1,04/01/2023,B1,01/12/2022,04/01/2023,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"49,00%",34.61%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,49%,,,,-,-,-,"100,00%",-,-,-,"100,00%",04/01/2023,,25/04/2023,18h 59m,06h 03m,25h 02m,1.139,363.0,1.502,76%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,danielwilliamson@example.com,EMBRAER,,,,,,,
169.0,Alexander Smith,pbowman@example.org,,TEC,INGLÊS,2,TURMA FIXA,B1,12/12/2022,B1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"47,00%",145.55%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,47%,,,,-,-,-,"100,00%",-,-,-,"100,00%",12/12/2022,,25/04/2023,17h 11m,23h 17m,40h 28m,1.031,1.397,2.428,42%,EN | EMB2 | TEC | INT28,Segundas e quartas às 19h,Noite,Larissa,Brasileiro,1.0,,,carolinecampbell@example.org,EMBRAER,,,,,,,
368.0,Roger Hicks,orose@example.org,,ADM,INGLÊS,3,TURMA FIXA,A1,09/02/2023,A1,01/02/2023,09/02/2023,"3,00%",0.00%,,"9,00%",75.92%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,09/02/2023,,19/04/2023,02h 39m,12h 08m,14h 48m,159.0,728.0,887.0,18%,EN | EMB3 | ADM | BAS20,Quarta e Sexta às 18h,Noite,Paulo,Brasileiro,,,,yreid@example.net,EMBRAER,,,,,,,
23.0,Erica Jackson,robert55@example.net,,ADM,INGLÊS,1,TURMA FIXA,A2,30/09/2022,A2,01/09/2022,30/09/2022,"45,00%",0.00%,,"0,00%",0.00%,,"0,00%",128.22%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,45%,,"0,00%","45,00%","100,00%",-,-,-,-,-,-,"100,00%",30/09/2022,,24/04/2023,02h 13m,20h 30m,22h 44m,133.0,1.23,1.363,10%,EN | EMB | ADM | BAS05,Segundas e quartas às 08h,Manhã,Vanessa,Brasileiro,2.0,,,lambbryan@example.net,EMBRAER,,,,,,,
59.0,Nicholas Austin,johnriggs@example.org,,TI,INGLÊS,1,TURMA FIXA,B2,26/09/2022,B2,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"3,00%",0.00%,,"39,00%",80.49%,,"0,00%",0.00%,,"0,00%",0.00%,42%,,"39,00%","39,00%",-,-,-,-,"98,75%",-,-,"98,75%",26/09/2022,,17/04/2023,14h 09m,12h 52m,27h 02m,849.0,772.0,1.621,52%,EN | EMB2 | TI | INT30,Terças e quintas às 13h,Tarde,Luíza,Brasileiro,2.0,Aluno da turma 1 que deseja trocar de turma,,tapiarebecca@example.org,EMBRAER,,,,,,,
46.0,Angela Hunt,mjackson@example.com,,ADM,INGLÊS,1,TURMA FLEXÍVEL,A1,25/10/2022,A1,01/09/2022,25/10/2022,"0,00%",0.00%,,"42,00%",35.61%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,42%,,"42,00%","42,00%",-,"98,33%",-,-,-,-,-,"98,33%",25/10/2022,,24/04/2023,04h 55m,05h 41m,10h 37m,295.0,341.0,636.0,46%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,brosales@example.net,EMBRAER,,,,,,,
217.0,Amanda Stevenson,geraldsanchez@example.net,,TEC,INGLÊS,2,TURMA FIXA,B1,12/12/2022,B1,01/12/2022,12/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"45,00%",117.82%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,45%,,,,-,-,-,"100,00%",-,-,-,"100,00%",12/12/2022,,25/04/2023,18h 21m,19h 31m,37h 52m,1.101,1.171,2.272,48%,EN | EMB2 | TEC | INT27,Terças e quintas às 18h,Noite,Larissa,Brasileiro,1.0,,,ugreen@example.com,EMBRAER,,,,,,,
85.0,David Kerr,staceyjimenez@example.com,,ADM,INGLÊS,1,TURMA FLEXÍVEL,A2,26/09/2022,A2,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"42,00%",115.68%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,42%,,"42,00%","42,00%",-,-,"90,00%",-,-,-,-,"90,00%",26/09/2022,,19/04/2023,12h 38m,18h 30m,31h 09m,758.0,1.11,1.868,41%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,matthewlee@example.net,EMBRAER,,,,,,,
351.0,Ronald Phillips,jamesblair@example.org,,ADM,INGLÊS,3,TURMA FLEXÍVEL,A1,14/02/2023,A1,01/02/2023,14/02/2023,"34,00%",0.00%,,"17,00%",61.83%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,,,,-,-,-,-,-,-,-,,14/02/2023,,25/04/2023,05h 24m,10h 15m,15h 39m,324.0,615.0,939.0,35%,Turma flexível,FLEX,FLEX,FLEX,FLEX,,,,allenamanda@example.net,EMBRAER,,,,,,,
181.0,Jason Valenzuela,llloyd@example.org,,TI,INGLÊS,2,TURMA FLEXÍVEL,B1,03/01/2023,B1,01/12/2022,03/01/2023,"16,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"28,00%",55.78%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,44%,,,,-,-,-,"95,00%",-,-,-,"95,00%",03/01/2023,,25/04/2023,08h 42m,08h 55m,17h 38m,522.0,535.0,1.057,49%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,perrymichael@example.com,EMBRAER,,,,,,,
300.0,Mrs. Heather Gomez MD,williamsnatasha@example.org,,TEC,INGLÊS,2,TURMA FIXA,B2,13/12/2022,B2,01/12/2022,13/12/2022,"26,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"18,00%",0.00%,,"0,00%",124.48%,,"0,00%",0.00%,,"0,00%",0.00%,44%,,,,-,-,-,-,-,-,-,,13/12/2022,,19/04/2023,07h 24m,27h 07m,34h 32m,444.0,1.627,2.071,21%,EN | EMB2 | TEC | INT26,Quartas e sexta às 16h,Tarde,Gustavo,Brasileiro,1.0,,,karenpeterson@example.org,EMBRAER,,,,,,,
210.0,Allison Simpson,kellyjill@example.com,,ADM,INGLÊS,2,TURMA FIXA,A2,13/12/2022,A2,01/12/2022,13/12/2022,"11,00%",0.00%,,"5,00%",0.00%,,"25,00%",193.35%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,41%,,,,-,-,-,-,-,-,-,,13/12/2022,,25/04/2023,06h 52m,30h 56m,37h 48m,412.0,1.856,2.268,18%,EN | EMB2 | ADM | BAS09,Segundas e quartas às 20h,Noite,Marcela,Brasileiro,1.0,,,arthurgarcia@example.com,EMBRAER,,,,,,,
234.0,Eric Patterson,vschmitt@example.net,,TI,INGLÊS,2,TURMA FLEXÍVEL,A2,14/12/2022,A2,01/12/2022,14/12/2022,"1,00%",0.00%,,"0,00%",0.00%,,"39,00%",88.80%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,40%,,,,-,-,"97,50%",-,-,-,-,"97,50%",14/12/2022,,25/04/2023,06h 28m,15h 08m,21h 37m,388.0,908.0,1.296,30%,Turma flexível,FLEX,FLEX,FLEX,FLEX,1.0,,,srodriguez@example.org,EMBRAER,,,,,,,
293.0,Maria Terry,thomasrosario@example.org,,ADM,INGLÊS,2,TURMA FIXA,B1,19/12/2022,B1,01/12/2022,19/12/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"38,00%",120.65%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,38%,,,,-,-,-,"95,00%",-,-,-,"95,00%",19/12/2022,,25/04/2023,10h 31m,19h 18m,29h 50m,631.0,1.158,1.789,35%,EN | EMB2 | ADM | INT24,Terças e quintas às 10h,Manhã,Ricardo,Brasileiro,1.0,,,kgraham@example.net,EMBRAER,,,,,,,
333.0,Aaron Johnson,vmason@example.org,,ADM,INGLÊS,2,TURMA FIXA,A1,13/12/2022,A1,01/12/2022,13/12/2022,"37,00%",0.00%,,"0,00%",173.43%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,37%,,,,-,-,-,-,-,-,-,,13/12/2022,,24/04/2023,02h 33m,27h 44m,30h 18m,153.0,1.664,1.817,8%,EN | EMB2 | ADM | BAS15,Segundas e quartas às 10h,Manhã,Bruno,Brasileiro,1.0,,,kimberlyhodge@example.org,EMBRAER,,,,,,,
53.0,Eric Olson,millerrhonda@example.net,,TI,INGLÊS,1,TURMA FLEXÍVEL,B1,29/09/2022,B1,01/09/2022,29/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"39,00%",10.20%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,39%,,"39,00%","39,00%",-,-,-,"90,00%",-,-,-,"90,00%",29/09/2022,,04/04/2023,11h 34m,01h 37m,13h 12m,694.0,97.0,791.0,88%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,ilane@example.com,EMBRAER,,,,,,,
57.0,Julie Spencer,ptownsend@example.com,,ADM,INGLÊS,1,TURMA FIXA,B1,03/10/2022,B1,01/09/2022,03/10/2022,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"36,00%",131.86%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,36%,,"30,00%","30,00%",-,-,-,"64,15%",-,-,-,"64,15%",03/10/2022,,25/04/2023,09h 52m,24h 25m,34h 18m,592.0,1.465,2.057,29%,EN | EMB | ADM | INT12,Segundas e quartas às 16h,Tarde,Luíza,Brasileiro,2.0,,,smithjennifer@example.com,EMBRAER,,,,,,,
279.0,Logan Burnett,yolandatanner@example.org,,ADM,INGLÊS,2,TURMA FIXA,A2,12/12/2022,A2,01/12/2022,12/12/2022,"36,00%",0.00%,,"0,00%",0.00%,,"0,00%",112.12%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,36%,,,,-,-,-,-,-,-,-,,12/12/2022,,19/04/2023,02h 39m,17h 56m,20h 36m,159.0,1.076,1.235,13%,EN | EMB2 | ADM | BAS14,Segundas e quartas às 09h,Manhã,Paola,Brasileiro,1.0,,,amandaschroeder@example.net,EMBRAER,,,,,,,
149.0,Danielle Shaw,owenashlee@example.net,,TI,INGLÊS,1,TURMA FLEXÍVEL,B1,26/09/2022,B1,01/09/2022,26/09/2022,"0,00%",0.00%,,"0,00%",0.00%,,"1,00%",0.00%,,"35,00%",29.76%,,"0,00%",0.00%,,"0,00%",0.00%,,"0,00%",0.00%,36%,,"35,00%","35,00%",-,-,-,"100,00%",-,-,-,"100,00%",26/09/2022,,28/02/2023,12h 25m,04h 45m,17h 11m,745.0,285.0,1.03,72%,Turma flexível,FLEX,FLEX,FLEX,FLEX,2.0,,,christine77@example.org,EMBRAER,,,,,,,
