Unnamed: 0,Num.,Nome completo,Área,Idioma de interesse,Modelo de aula,Resultado nivelamento,Leva,Primeiro Acesso,Último Acesso,A0,A0 AoV,A1,A1 AoV,A2,A2 AoV,B1,B1 AoV,B2,B2 AoV,C1,C1 AoV,C2,C2 AoV,tempo plataforma minutos,tempo AOV minutos,tempo total,total progresso,E-mail
87,183.0,Roger Jensen Jr.,TI,INGLÊS,TURMA FIXA,B1,2,12/12/2022,20/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"58,00%",140.34%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.301,1.347,2.648,58%,fpowell@example.org
88,50.0,Alexander Klein,TI,INGLÊS,TURMA FLEXÍVEL,A1,1,27/09/2022,25/04/2023,"0,00%",0.00%,"58,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,681.0,0.0,681.0,58%,slucas@example.org
89,,Carl Ward,TEC,INGLÊS,TURMA FIXA,A1,4,13/04/2023,25/04/2023,"50,00%",0.00%,"8,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,337.0,0.0,337.0,58%,walterkerr@example.net
90,202.0,Maurice Hayes,TI,INGLÊS,TURMA FIXA,A1,2,14/12/2022,25/04/2023,"57,00%",0.00%,"0,00%",120.11%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,138.0,1.274,1.412,57%,esimpson@example.org
91,126.0,Melissa Manning,TI,INGLÊS,TURMA FIXA,B1,1,27/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"57,00%",240.72%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.235,2.31,3.545,57%,ethan46@example.net
92,287.0,Kaitlyn Fuentes,ADM,FRANCÊS,TURMA FIXA,A1,2,15/12/2022,25/04/2023,"56,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,221.0,1.42,1.641,56%,ojones@example.com
93,235.0,Brian Davis,TEC,INGLÊS,TURMA FIXA,B1,2,13/12/2022,26/04/2023,"6,00%",0.00%,"23,00%",0.00%,"0,00%",0.00%,"25,00%",132.33%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,741.0,1.33,2.071,54%,qtate@example.org
94,172.0,Kelli Carroll,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"53,00%",116.25%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,787.0,1.151,1.938,53%,sherri64@example.org
95,79.0,Joseph Mckinney,TI,INGLÊS,TURMA FIXA,B1,1,30/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"52,00%",131.14%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.226,1.375,2.601,52%,edavis@example.net
96,262.0,Gabriella Barrett,ADM,INGLÊS,TURMA FIXA,B1,2,12/12/2022,25/04/2023,"47,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"5,00%",72.64%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,288.0,741.0,1.029,52%,laura83@example.com
97,289.0,Kelly Jones,TI,INGLÊS,TURMA FIXA,B1,2,09/01/2023,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"52,00%",145.07%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.826,1.392,3.218,52%,hernandezjeremy@example.com
98,195.0,Elizabeth Campbell,TI,INGLÊS,TURMA FIXA,B2,2,12/12/2022,24/04/2023,"6,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"45,00%",0.00%,"0,00%",141.19%,"0,00%",0.00%,"0,00%",0.00%,1.443,1.747,3.19,51%,davisstephanie@example.net
99,344.0,Catherine Lawrence MD,TEC,INGLÊS,TURMA FIXA,B2,2,14/12/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"51,00%",129.93%,"0,00%",0.00%,"0,00%",0.00%,1.133,1.247,2.38,51%,christopheralexander@example.net
100,325.0,Sabrina Dickerson,TI,INGLÊS,TURMA FIXA,B1,2,12/12/2022,18/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"50,00%",133.09%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.176,1.277,2.453,50%,hullmatthew@example.com
101,107.0,Justin Cochran,TI,INGLÊS,TURMA FLEXÍVEL,B2,1,26/09/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"49,00%",49.27%,"0,00%",0.00%,"0,00%",0.00%,487.0,473.0,960.0,49%,jacquelinemerritt@example.net
102,321.0,Lori Campbell,ADM,INGLÊS,TURMA FIXA,B1,2,13/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"49,00%",165.66%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,782.0,1.65,2.432,49%,ashleyjohnson@example.net
103,324.0,John Dominguez,TEC,INGLÊS,TURMA FLEXÍVEL,B1,2,04/01/2023,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"49,00%",34.61%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.139,363.0,1.502,49%,deborah02@example.com
104,169.0,Christopher Burnett,TEC,INGLÊS,TURMA FIXA,B1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"47,00%",145.55%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.031,1.397,2.428,47%,joshua62@example.com
105,355.0,Elizabeth Olson,ADM,INGLÊS,TURMA FIXA,A1,3,13/02/2023,25/04/2023,"47,00%",0.00%,"0,00%",66.98%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,296.0,699.0,995.0,47%,kimberlygoodwin@example.org
106,23.0,Ashley Richardson,ADM,INGLÊS,TURMA FIXA,A2,1,30/09/2022,24/04/2023,"45,00%",0.00%,"0,00%",0.00%,"0,00%",128.22%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,133.0,1.23,1.363,45%,melissarodriguez@example.com
107,217.0,Andrew Monroe,TEC,INGLÊS,TURMA FIXA,B1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"45,00%",117.82%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.101,1.171,2.272,45%,james80@example.org
108,145.0,Amy Smith,ADM,ESPANHOL,TURMA FLEXÍVEL,A2,1,26/09/2022,20/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",6.37%,"45,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,855.0,61.0,916.0,45%,michael05@example.com
109,181.0,Jeffrey Watkins,TI,INGLÊS,TURMA FLEXÍVEL,B1,2,03/01/2023,25/04/2023,"16,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"28,00%",55.78%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,522.0,535.0,1.057,44%,patriciajennings@example.org
110,300.0,Roberto Watkins DVM,TEC,INGLÊS,TURMA FIXA,B2,2,13/12/2022,19/04/2023,"26,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"18,00%",0.00%,"0,00%",124.48%,"0,00%",0.00%,"0,00%",0.00%,444.0,1.627,2.071,44%,nathanarroyo@example.com
111,59.0,Breanna Foster,TI,INGLÊS,TURMA FIXA,B2,1,26/09/2022,17/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"3,00%",0.00%,"39,00%",80.49%,"0,00%",0.00%,"0,00%",0.00%,849.0,772.0,1.621,42%,ramseyjoshua@example.org
112,46.0,Nicole Hernandez,ADM,INGLÊS,TURMA FLEXÍVEL,A1,1,25/10/2022,24/04/2023,"0,00%",0.00%,"42,00%",35.61%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,295.0,341.0,636.0,42%,scross@example.net
113,85.0,Paul Williams,ADM,INGLÊS,TURMA FLEXÍVEL,A2,1,26/09/2022,19/04/2023,"0,00%",0.00%,"0,00%",0.00%,"42,00%",115.68%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,758.0,1.11,1.868,42%,walshrandall@example.net
114,210.0,Sean Keller,ADM,INGLÊS,TURMA FIXA,A2,2,13/12/2022,25/04/2023,"11,00%",0.00%,"5,00%",0.00%,"25,00%",193.35%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,412.0,1.856,2.268,41%,jose26@example.net
115,234.0,Jill Mccoy,TI,INGLÊS,TURMA FLEXÍVEL,A2,2,14/12/2022,25/04/2023,"1,00%",0.00%,"0,00%",0.00%,"39,00%",88.80%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,388.0,908.0,1.296,40%,melissa38@example.com
116,386.0,Lisa Zimmerman,ADM,INGLÊS,TURMA FIXA,A1,3,09/02/2023,24/04/2023,"0,00%",0.00%,"40,00%",69.58%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,305.0,668.0,973.0,40%,robert26@example.net
117,53.0,Kelsey Stanley,TI,INGLÊS,TURMA FLEXÍVEL,B1,1,29/09/2022,04/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"39,00%",10.20%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,694.0,97.0,791.0,39%,snydermark@example.com
118,293.0,Richard Snyder,ADM,INGLÊS,TURMA FIXA,B1,2,19/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"38,00%",120.65%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,631.0,1.158,1.789,38%,donaldwhite@example.com
119,333.0,Zachary Mendoza,ADM,INGLÊS,TURMA FIXA,A1,2,13/12/2022,24/04/2023,"37,00%",0.00%,"0,00%",173.43%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,153.0,1.664,1.817,37%,yolandafreeman@example.com
120,57.0,William Ruiz,ADM,INGLÊS,TURMA FIXA,B1,1,03/10/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"36,00%",131.86%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,592.0,1.465,2.057,36%,mendezphyllis@example.com
121,279.0,Monica Lee,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,19/04/2023,"36,00%",0.00%,"0,00%",0.00%,"0,00%",112.12%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,159.0,1.076,1.235,36%,caroline85@example.com
122,389.0,Elizabeth Downs,TEC,INGLÊS,TURMA FIXA,A1,3,13/02/2023,24/04/2023,"16,00%",0.00%,"20,00%",75.81%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,279.0,727.0,1.006,36%,emcdonald@example.com
123,149.0,Julie Travis,TI,INGLÊS,TURMA FLEXÍVEL,B1,1,26/09/2022,28/02/2023,"0,00%",0.00%,"0,00%",0.00%,"1,00%",0.00%,"35,00%",29.76%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,745.0,285.0,1.03,36%,dgreen@example.org
124,370.0,Emily Shaw DDS,ADM,INGLÊS,AULA PARTICULAR,B1,3,09/02/2023,26/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"35,00%",90.30%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,1.224,925.0,2.149,35%,ldelgado@example.org
125,21.0,Dennis Navarro,TEC,ESPANHOL,TURMA FLEXÍVEL,A1,1,15/03/2023,25/04/2023,"35,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,185.0,0.0,185.0,35%,nathanielhunter@example.net
126,22.0,Aaron Novak,ADM,INGLÊS,TURMA FIXA,A2,1,30/09/2022,28/11/2022,"6,00%",0.00%,"10,00%",0.00%,"19,00%",2.88%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,591.0,27.0,618.0,35%,sheriellis@example.net
127,391.0,Meredith Dean,ADM,INGLÊS,TURMA FIXA,B2,3,09/02/2023,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"35,00%",80.08%,"0,00%",0.00%,"0,00%",0.00%,644.0,768.0,1.412,35%,wbarber@example.org
128,178.0,Justin Snyder,TEC,INGLÊS,TURMA FLEXÍVEL,A1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"34,00%",50.04%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,596.0,508.0,1.104,34%,burtonadrian@example.net
129,248.0,Raymond Bird,ADM,INGLÊS,TURMA FIXA,B1,2,12/12/2022,19/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"34,00%",140.14%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,428.0,1.345,1.773,34%,santoselizabeth@example.net
130,148.0,Jeremiah Stephens,TEC,INGLÊS,TURMA FIXA,B2,1,26/09/2022,25/04/2023,"1,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"33,00%",107.90%,"0,00%",0.00%,"0,00%",0.00%,111.0,1.929,2.04,34%,moorelinda@example.org
131,80.0,Adrian Crawford,TI,INGLÊS,TURMA FLEXÍVEL,A2,1,27/09/2022,25/04/2023,"9,00%",0.00%,"0,00%",0.00%,"25,00%",2.88%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,826.0,27.0,853.0,34%,rebeccaestrada@example.org
132,30.0,Jade Anderson,ADM,INGLÊS,TURMA FIXA,A2,1,27/09/2022,24/04/2023,"18,00%",0.00%,"11,00%",0.00%,"4,00%",216.38%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,281.0,2.191,2.472,33%,villarrealjames@example.net
133,81.0,Ryan Stephenson,TEC,INGLÊS,TURMA FIXA,B1,1,26/09/2022,27/03/2023,"31,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",35.46%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,247.0,340.0,587.0,31%,erichards@example.org
134,267.0,Angela Wilson,ADM,INGLÊS,TURMA FIXA,B2,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"24,00%",0.00%,"7,00%",171.94%,"0,00%",0.00%,"0,00%",0.00%,360.0,1.707,2.067,31%,alexnelson@example.net
135,159.0,John Holt,ADM,INGLÊS,TURMA FIXA,B2,2,15/12/2022,26/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"30,00%",0.00%,"0,00%",223.41%,"0,00%",0.00%,"0,00%",0.00%,734.0,2.201,2.935,30%,ewong@example.org
136,204.0,Melissa Johnson,TEC,INGLÊS,TURMA FIXA,B1,2,13/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"30,00%",151.33%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,800.0,1.501,2.301,30%,plawson@example.com
137,113.0,Cassandra Rubio,ADM,INGLÊS,TURMA FIXA,B1,1,04/10/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"30,00%",138.33%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,664.0,1.328,1.992,30%,andrea96@example.com
138,163.0,Timothy Ellis,TI,INGLÊS,TURMA FLEXÍVEL,B1,2,14/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"29,00%",97.98%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,512.0,940.0,1.452,29%,anna46@example.net
139,304.0,Julie Phillips,ADM,INGLÊS,TURMA FIXA,B1,2,13/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"29,00%",103.69%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,499.0,1.042,1.541,29%,rthomas@example.com
140,165.0,Carol Smith,TEC,INGLÊS,TURMA FIXA,A2,2,16/12/2022,25/04/2023,"1,00%",0.00%,"11,00%",0.00%,"16,00%",45.19%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,448.0,1.491,1.939,28%,woodsalicia@example.net
141,18.0,Todd Williamson,ADM,INGLÊS,TURMA FIXA,B1,1,26/09/2022,24/04/2023,"9,00%",0.00%,"0,00%",0.00%,"7,00%",0.00%,"12,00%",76.97%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,392.0,738.0,1.13,28%,kellykristen@example.com
142,192.0,Andrea Gallegos,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,13/12/2022,25/04/2023,"0,00%",0.00%,"27,00%",0.00%,"0,00%",0.00%,"0,00%",54.86%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,497.0,526.0,1.023,27%,shawnpugh@example.com
143,37.0,Ryan Green,TI,INGLÊS,TURMA FIXA,B1,1,26/09/2022,20/04/2023,"1,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"26,00%",185.91%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,879.0,1.784,2.663,27%,danielwilliamson@example.com
144,376.0,Alexander Smith,TEC,INGLÊS,TURMA FIXA,A1,3,09/02/2023,24/04/2023,"22,00%",0.00%,"4,00%",50.32%,"0,00%",0.00%,"1,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,336.0,833.0,1.169,27%,carolinecampbell@example.org
145,302.0,Roger Hicks,ADM,INGLÊS,TURMA FIXA,B1,2,21/12/2022,20/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"27,00%",129.08%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,524.0,1.239,1.763,27%,yreid@example.net
146,208.0,Erica Jackson,ADM,INGLÊS,TURMA FIXA,A2,2,12/12/2022,25/04/2023,"19,00%",0.00%,"0,00%",0.00%,"7,00%",161.27%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,315.0,1.598,1.913,26%,lambbryan@example.net
147,404.0,Nicholas Austin,TEC,INGLÊS,TURMA FIXA,A1,3,09/02/2023,25/04/2023,"1,00%",0.00%,"25,00%",87.52%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,248.0,849.0,1.097,26%,tapiarebecca@example.org
148,94.0,Angela Hunt,ADM,ESPANHOL,TURMA FLEXÍVEL,A2,1,28/09/2022,23/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",45.35%,"25,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,528.0,435.0,963.0,25%,brosales@example.net
149,77.0,Amanda Stevenson,ADM,INGLÊS,TURMA FIXA,B1,1,29/09/2022,17/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"24,00%",219.83%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,747.0,2.11,2.857,24%,ugreen@example.com
150,364.0,David Kerr,ADM,INGLÊS,TURMA FIXA,B2,3,09/02/2023,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"24,00%",70.56%,"0,00%",0.00%,"0,00%",0.00%,304.0,734.0,1.038,24%,matthewlee@example.net
151,291.0,Ronald Phillips,TI,INGLÊS,TURMA FLEXÍVEL,B1,2,12/01/2023,19/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"24,00%",111.28%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,277.0,1.068,1.345,24%,allenamanda@example.net
152,203.0,Jason Valenzuela,ADM,FRANCÊS,TURMA FIXA,B1,2,18/12/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"23,00%",116.73%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,870.0,1.12,1.99,23%,perrymichael@example.com
153,52.0,Mrs. Heather Gomez MD,TI,INGLÊS,TURMA FIXA,B2,1,26/09/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"5,00%",0.00%,"18,00%",127.34%,"0,00%",0.00%,"0,00%",0.00%,408.0,1.281,1.689,23%,karenpeterson@example.org
154,296.0,Allison Simpson,TEC,INGLÊS,TURMA FIXA,A2,2,12/12/2022,25/04/2023,"11,00%",0.00%,"0,00%",0.00%,"12,00%",109.51%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,713.0,1.144,1.857,23%,arthurgarcia@example.com
155,254.0,Eric Patterson,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,12/12/2022,25/04/2023,"9,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"13,00%",144.46%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,269.0,1.386,1.655,22%,srodriguez@example.org
156,258.0,Maria Terry,TI,INGLÊS,TURMA FIXA,A2,2,14/12/2022,25/04/2023,"13,00%",0.00%,"0,00%",0.00%,"9,00%",155.87%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,222.0,1.551,1.773,22%,kgraham@example.net
157,306.0,Aaron Johnson,ADM,INGLÊS,TURMA FIXA,B1,2,13/12/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"22,00%",142.88%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,504.0,1.371,1.875,22%,kimberlyhodge@example.org
158,315.0,Eric Olson,ADM,INGLÊS,TURMA FLEXÍVEL,B1,2,12/12/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"22,00%",72.69%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,905.0,719.0,1.624,22%,ilane@example.com
159,366.0,Julie Spencer,ADM,INGLÊS,AULA PARTICULAR,A1,3,13/02/2023,25/04/2023,"22,00%",0.00%,"0,00%",69.75%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,252.0,719.0,971.0,22%,smithjennifer@example.com
160,152.0,Logan Burnett,TI,INGLÊS,TURMA FIXA,B1,1,29/09/2022,20/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"22,00%",174.78%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,511.0,1.849,2.36,22%,amandaschroeder@example.net
161,153.0,Danielle Shaw,ADM,INGLÊS,TURMA FLEXÍVEL,B1,1,13/10/2022,23/12/2022,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"22,00%",3.02%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,206.0,55.0,261.0,22%,christine77@example.org
162,264.0,John Johnson,TEC,INGLÊS,TURMA FIXA,B1,2,03/01/2023,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"21,00%",159.52%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,581.0,1.569,2.15,21%,michaeltorres@example.net
163,,Karen Drake,ADM,INGLÊS,TURMA FIXA,A2,4,Nunca acessou,21/04/2023,"0,00%",0.00%,"0,00%",0.00%,"20,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,165.0,0.0,165.0,20%,bsoto@example.com
164,369.0,Emily Mckinney,TEC,INGLÊS,AULA PARTICULAR,B1,3,09/02/2023,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"20,00%",40.20%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,596.0,385.0,981.0,20%,jgarcia@example.net
165,99.0,Ashley Stewart,ADM,INGLÊS,TURMA FLEXÍVEL,B2,1,30/09/2022,15/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"8,00%",0.00%,"12,00%",60.97%,"0,00%",0.00%,"0,00%",0.00%,197.0,585.0,782.0,20%,mmitchell@example.org
166,112.0,Patricia Thompson,ADM,INGLÊS,TURMA FIXA,B2,1,26/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"20,00%",94.29%,"0,00%",0.00%,"0,00%",0.00%,232.0,905.0,1.137,20%,cookmeagan@example.org
167,120.0,Jonathon Ortega,TEC,INGLÊS,TURMA FIXA,C1,1,27/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"20,00%",255.84%,"0,00%",0.00%,395.0,2.517,2.912,20%,uphillips@example.net
168,147.0,Stacy Lyons,TEC,INGLÊS,TURMA FLEXÍVEL,B1,1,29/09/2022,06/04/2023,"9,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"11,00%",3.07%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,386.0,29.0,415.0,20%,marcuslindsey@example.net
169,151.0,Renee Brown,ADM,INGLÊS,TURMA FIXA,A2,1,26/09/2022,24/04/2023,"8,00%",0.00%,"0,00%",0.00%,"12,00%",134.41%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,143.0,2.068,2.211,20%,smithtaylor@example.net
170,42.0,Marcus Villanueva,TEC,INGLÊS,TURMA FIXA,B1,1,29/09/2022,25/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"19,00%",259.45%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,169.0,2.49,2.659,19%,william93@example.net
171,62.0,Levi Schultz,ADM,INGLÊS,TURMA FIXA,B1,1,05/10/2022,24/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"19,00%",114.57%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,314.0,1.223,1.537,19%,smithbarbara@example.org
172,362.0,Lisa Thompson,ADM,INGLÊS,TURMA FIXA,A2,3,09/02/2023,19/04/2023,"0,00%",0.00%,"0,00%",0.00%,"19,00%",88.86%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,330.0,853.0,1.183,19%,melissa51@example.net
173,92.0,Elizabeth Cook,TI,INGLÊS,TURMA FIXA,B1,1,28/09/2022,18/04/2023,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"19,00%",212.26%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,334.0,2.037,2.371,19%,qburnett@example.net
174,104.0,Curtis Fuentes,ADM,INGLÊS,TURMA FIXA,B1,1,03/10/2022,18/04/2023,"19,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",147.74%,"0,00%",0.00%,"0,00%",0.00%,"0,00%",0.00%,60.0,1.418,1.478,19%,johnconway@example.com
